batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed,k_flag,bb_flag,hr_flag,babip_flag,avg_flag,any_flag
Deadball,Ty Cobb,cobbty01,1911,Control,Jon Lieber,liebejo01,2004,10000,0.122,0.0279,0.0491,0.386,0.408,0.66,0.407,1068747023,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Carlos Silva,silvaca01,2005,10000,0.105,0.0252,0.0547,0.396,0.418,0.684,0.407,787784058,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Cliff Lee,leecl02,2010,10000,0.1698,0.0255,0.0467,0.346,0.369,0.586,0.384,399625800,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,Phil Hughes,hugheph01,2014,10000,0.1549,0.026,0.0464,0.359,0.381,0.607,0.392,2332765832,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,K-Kings,Gerrit Cole,colege01,2019,10000,0.1894,0.0559,0.0384,0.332,0.377,0.546,0.385,2262323043,False,False,False,True,False,True
Deadball,Ty Cobb,cobbty01,1911,Control,George Kirby,kirbyge01,2023,10000,0.1445,0.0258,0.0522,0.374,0.396,0.647,0.402,1558791053,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Bill Burns,burnsbi01,1908,10000,0.137,0.0518,0.0396,0.36,0.4,0.593,0.391,3893993203,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.1438,0.1036,0.0359,0.353,0.427,0.574,0.392,1892159004,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.161,0.1128,0.0319,0.332,0.415,0.538,0.379,4266630026,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Babe Adams,adamsba01,1920,10000,0.1647,0.0349,0.0358,0.331,0.362,0.537,0.372,4034673786,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1987,0.1098,0.0267,0.299,0.385,0.468,0.361,2974461619,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Red Lucas,lucasre01,1933,10000,0.1044,0.0356,0.0441,0.381,0.41,0.631,0.397,2335070660,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Dennis Eckersley,eckerde01,1985,10000,0.1675,0.0374,0.0356,0.335,0.366,0.54,0.378,1665833211,False,False,False,True,False,True
Deadball,Shoeless Joe Jackson,jacksjo01,1911,Control,Bret Saberhagen,saberbr01,1994,10000,0.1704,0.037,0.0346,0.328,0.36,0.525,0.372,699724791,False,False,False,True,False,True
