batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Nolan Ryan,ryanno01,1977,10000,0.1832,0.1197,0.0305,0.268,0.365,0.439,0.309,2822920244
Deadball,Cy Seymour,seymocy01,1905,Control,Dennis Eckersley,eckerde01,1985,10000,0.1386,0.046,0.0386,0.355,0.391,0.579,0.387,2941241687
Deadball,Cy Seymour,seymocy01,1905,Control,Bret Saberhagen,saberbr01,1994,10000,0.1482,0.0462,0.0376,0.334,0.371,0.543,0.366,2068802920
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Curt Schilling,schilcu01,1997,10000,0.1752,0.068,0.0332,0.309,0.364,0.498,0.353,1934694656
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Pedro Martinez,martipe02,1999,10000,0.1877,0.0542,0.0287,0.256,0.303,0.405,0.293,758758507
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Randy Johnson,johnsra05,2001,10000,0.1747,0.0862,0.0289,0.292,0.361,0.462,0.336,1185428734
Deadball,Cy Seymour,seymocy01,1905,Control,Jon Lieber,liebejo01,2004,10000,0.1087,0.0445,0.0489,0.384,0.418,0.658,0.399,1222716372
Deadball,Cy Seymour,seymocy01,1905,Control,Carlos Silva,silvaca01,2005,10000,0.0742,0.046,0.0487,0.397,0.43,0.671,0.397,3981188461
Deadball,Cy Seymour,seymocy01,1905,Control,Cliff Lee,leecl02,2010,10000,0.1362,0.0453,0.0377,0.358,0.394,0.581,0.39,1143757416
Deadball,Cy Seymour,seymocy01,1905,Control,Phil Hughes,hugheph01,2014,10000,0.1333,0.0411,0.0403,0.36,0.392,0.591,0.388,909417103
Deadball,Cy Seymour,seymocy01,1905,K-Kings,Gerrit Cole,colege01,2019,10000,0.1742,0.0749,0.0287,0.32,0.379,0.506,0.372,2407993809
Deadball,Cy Seymour,seymocy01,1905,Control,George Kirby,kirbyge01,2023,10000,0.1236,0.0434,0.0466,0.363,0.399,0.622,0.383,956390830
Deadball,Ty Cobb,cobbty01,1911,K-Kings,Rube Waddell,wadderu01,1904,10000,0.2094,0.0758,0.0321,0.287,0.347,0.466,0.343,1563034567
Deadball,Ty Cobb,cobbty01,1911,Control,Bill Burns,burnsbi01,1908,10000,0.1366,0.0386,0.0497,0.374,0.406,0.643,0.4,1679220293
Deadball,Ty Cobb,cobbty01,1911,K-Kings,Walter Johnson,johnswa01,1910,10000,0.2036,0.0532,0.0351,0.267,0.313,0.441,0.308,2363521234
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.1435,0.0878,0.0439,0.372,0.436,0.635,0.409,3885876714
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.1693,0.0935,0.0401,0.312,0.385,0.536,0.349,2197249545
Deadball,Ty Cobb,cobbty01,1911,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1633,0.096,0.0394,0.337,0.408,0.565,0.379,3934540837
Deadball,Ty Cobb,cobbty01,1911,Control,Babe Adams,adamsba01,1920,10000,0.1601,0.0256,0.049,0.349,0.372,0.601,0.381,616374219
