player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
cockrph01,Phil Cockrell,1927,pitcher,SP,750,0.0,22.07,2.21,8699175
smithbo02,Bob Smith,1927,pitcher,SP,750,0.0,21.73,2.17,8568873
barnevi01,Virgil Barnes,1927,pitcher,SP,750,0.0,21.59,2.16,8536297
diazhe01,Heliodoro Díaz,1927,pitcher,SP,581,0.0,21.44,2.14,8471146
washipe01,Pete Washington,1927,hitter,UTIL,600,21.35,0.0,2.14,8471146
pryorbi01,Bill Pryor,1927,pitcher,SP,530,0.0,20.96,2.1,8340845
leachfr01,Freddy Leach,1927,hitter,UTIL,600,20.62,0.0,2.06,8210543
glassca01,Carl Glass,1927,pitcher,SP,632,0.0,20.46,2.05,8177967
gastomi01,Milt Gaston,1927,pitcher,SP,750,0.0,20.13,2.01,8047666
palmcl01,Clarence Palm,1927,hitter,UTIL,600,20.03,0.0,2.0,8015090
finleto01,Tom Finley,1927,hitter,UTIL,600,19.73,0.0,1.97,7917364
lankfra01,Ray Lankford,2000,hitter,UTIL,600,19.69,0.0,1.97,7917364
hundlto01,Todd Hundley,2000,hitter,UTIL,600,19.51,0.0,1.95,7852213
willibe02,Bernie Williams,2000,hitter,UTIL,600,19.46,0.0,1.95,7852213
palmera01,Rafael Palmeiro,2000,hitter,UTIL,600,19.36,0.0,1.94,7819637
aldrivi01,Vic Aldridge,1927,pitcher,SP,750,0.0,19.27,1.93,7787062
fournja01,Jack Fournier,1927,hitter,UTIL,600,19.31,0.0,1.93,7787062
roberch01,Charlie Robertson,1927,pitcher,SP,693,0.0,19.3,1.93,7787062
justida01,David Justice,2000,hitter,UTIL,600,19.26,0.0,1.93,7787062
collipa01,Pat Collins,1927,hitter,UTIL,600,19.18,0.0,1.92,7754486
dempsry01,Ryan Dempster,2000,pitcher,SP,750,0.0,19.2,1.92,7754486
jonessa01,Sad Sam Jones,1927,pitcher,SP,750,0.0,19.11,1.91,7721911
mitchge01,George Mitchell,1927,pitcher,SP,539,0.0,19.08,1.91,7721911
mondera01,Raul Mondesi,2000,hitter,UTIL,600,19.06,0.0,1.91,7721911
nevinph01,Phil Nevin,2000,hitter,UTIL,600,19.08,0.0,1.91,7721911
friscfr01,Frankie Frisch,1927,hitter,UTIL,600,19.03,0.0,1.9,7689336
hendera01,Rats Henderson,1927,pitcher,SP,609,0.0,19.03,1.9,7689336
