player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
hinesjo01,John Hines,1927,hitter,UTIL,600,-4.99,0.0,-0.5,1500000
hydeco01,Cowan Hyde,1927,hitter,UTIL,600,-4.96,0.0,-0.5,1500000
perkicy01,Cy Perkins,1927,hitter,UTIL,600,-5.05,0.0,-0.5,1500000
gilbe01,Benji Gil,2000,hitter,UTIL,600,-4.98,0.0,-0.5,1500000
duncafr01,Frank Duncan,1927,hitter,UTIL,600,-5.06,0.0,-0.51,1500000
belliro01,Ronnie Belliard,2000,hitter,UTIL,600,-5.08,0.0,-0.51,1500000
cruzde01,Deivi Cruz,2000,hitter,UTIL,600,-5.1,0.0,-0.51,1500000
eichrik01,Ike Eichrodt,1927,hitter,UTIL,600,-5.23,0.0,-0.52,1500000
montaes01,Estéban Montalvo,1927,hitter,UTIL,600,-5.22,0.0,-0.52,1500000
ballowi01,Win Ballou,1927,pitcher,SP,396,0.0,-5.41,-0.54,1500000
bennehe01,Herschel Bennett,1927,hitter,UTIL,600,-5.44,0.0,-0.54,1500000
kremera01,Ray Kremer,1927,pitcher,SP,750,0.0,-5.42,-0.54,1500000
fabrejo01,Jorge Fabregas,2000,hitter,UTIL,600,-5.35,0.0,-0.54,1500000
goodwto01,Tom Goodwin,2000,hitter,UTIL,600,-5.4,0.0,-0.54,1500000
guilloz01,Ozzie Guillen,2000,hitter,UTIL,600,-5.36,0.0,-0.54,1500000
adamssp02,Spencer Adams,1927,hitter,UTIL,600,-5.53,0.0,-0.55,1500000
ofarrbo01,Bob O'Farrell,1927,hitter,UTIL,600,-5.46,0.0,-0.55,1500000
schalra01,Ray Schalk,1927,hitter,UTIL,600,-5.47,0.0,-0.55,1500000
floweja01,Jake Flowers,1927,hitter,UTIL,600,-5.57,0.0,-0.56,1500000
batesch01,Charlie Bates,1927,hitter,UTIL,600,-5.69,0.0,-0.57,1500000
clarkea01,Earl Clark,1927,hitter,UTIL,600,-5.74,0.0,-0.57,1500000
jacobba01,Baby Doll Jacobson,1927,hitter,UTIL,600,-5.83,0.0,-0.58,1500000
jeffrha01,Harry Jeffries,1927,hitter,UTIL,600,-5.85,0.0,-0.58,1500000
mcneeea01,Earl McNeely,1927,hitter,UTIL,600,-5.92,0.0,-0.59,1500000
pryoran01,Anderson Pryor,1927,hitter,UTIL,600,-5.92,0.0,-0.59,1500000
eusebto01,Tony Eusebio,2000,hitter,UTIL,600,-5.96,0.0,-0.6,1500000
rogelbi01,Billy Rogell,1927,hitter,UTIL,600,-6.06,0.0,-0.61,1500000
bluelu01,Lu Blue,1927,hitter,UTIL,600,-6.16,0.0,-0.62,1500000
demosbi01,Bingo DeMoss,1927,hitter,UTIL,600,-6.2,0.0,-0.62,1500000
willi02,Williams,1927,hitter,UTIL,600,-6.2,0.0,-0.62,1500000
fryeje01,Jeff Frye,2000,hitter,UTIL,600,-6.2,0.0,-0.62,1500000
bluegos01,Ossie Bluege,1927,hitter,UTIL,600,-6.32,0.0,-0.63,1500000
fordho01,Horace Ford,1927,hitter,UTIL,600,-6.34,0.0,-0.63,1500000
hunnebi01,Bill Hunnefield,1927,hitter,UTIL,600,-6.35,0.0,-0.63,1500000
ricesa01,Sam Rice,1927,hitter,UTIL,600,-6.28,0.0,-0.63,1500000
coraal01,Alex Cora,2000,hitter,UTIL,600,-6.32,0.0,-0.63,1500000
guzmacr01,Cristian Guzman,2000,hitter,UTIL,600,-6.32,0.0,-0.63,1500000
gazelmi01,Mike Gazella,1927,hitter,UTIL,600,-6.4,0.0,-0.64,1500000
hardiha01,Halley Harding,1927,hitter,UTIL,600,-6.41,0.0,-0.64,1500000
joneswi03,Willie Jones,1927,hitter,UTIL,600,-6.43,0.0,-0.64,1500000
mellajo01,Joe Mellana,1927,hitter,UTIL,600,-6.41,0.0,-0.64,1500000
crespfe01,Felipe Crespo,2000,hitter,UTIL,600,-6.5,0.0,-0.65,1500000
abbotje01,Jeff Abbott,2000,hitter,UTIL,600,-6.64,0.0,-0.66,1500000
fonsele01,Lew Fonseca,1927,hitter,UTIL,600,-6.74,0.0,-0.67,1500000
statzji01,Arnold Statz,1927,hitter,UTIL,600,-6.65,0.0,-0.67,1500000
trempov01,Overton Tremper,1927,hitter,UTIL,600,-6.67,0.0,-0.67,1500000
owensde01,Dewitt Owens,1927,hitter,UTIL,600,-6.78,0.0,-0.68,1500000
